id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,Entire home/apt,Hotel room,Private room,Shared room,neighbourhood_labels
10098795,802,1,0,0.0,0,1,1,0,0,0,3
10098987,148,4,72,1.66,299,2,1,0,0,0,6
10101123,1499,5,1,0.02,0,1,1,0,0,0,3
10101931,249,3,13,0.24,0,1,1,0,0,0,6
10101941,1106,1,0,0.0,0,1,1,0,0,0,3
10102042,1649,1,0,0.0,365,1,0,0,1,0,8
10102659,149,2,85,1.59,303,1,1,0,0,0,3
10102822,1001,6,0,0.0,178,7,1,0,0,0,3
10104177,702,3,1,0.02,0,1,1,0,0,0,5
10104228,138,3,63,1.32,184,1,1,0,0,0,3
10104602,1200,2,2,0.05,263,1,1,0,0,0,3
10105237,82,1,16,0.31,90,2,0,0,1,0,8
10105534,498,1,0,0.0,0,1,1,0,0,0,6
10105764,400,4,2,0.05,180,7,1,0,0,0,3
10106209,597,2,45,0.84,54,1,1,0,0,0,9
10110618,65,2,3,0.09,365,7,0,0,1,0,1
10114748,72,3,4,0.08,0,2,1,0,0,0,3
10116578,1375,1,0,0.0,365,1,1,0,0,0,3
10117065,313,3,5,0.09,365,1,1,0,0,0,3
10117266,216,1,13,1.17,90,3,1,0,0,0,3
10118782,653,3,1,0.02,0,1,1,0,0,0,9
10119796,137,1,0,0.0,365,1,0,0,1,0,8
10119887,348,1,1,0.13,88,2,1,0,0,0,3
10120106,148,7,0,0.0,363,1,0,0,1,0,8
10121866,88,8,12,0.22,164,4,1,0,0,0,3
10122551,486,2,2,0.04,0,1,1,0,0,0,3
10122939,1797,1,0,0.0,0,1,1,0,0,0,3
10123138,44,1,0,0.0,365,18,0,0,0,1,6
10123238,65,1,1,0.02,26,18,0,0,1,0,6
10123599,398,4,5,0.09,173,1,1,0,0,0,3
10124130,299,7,6,0.13,0,1,1,0,0,0,3
10125819,92,3,1,0.03,365,1,0,0,1,0,1
10128695,200,2,13,0.24,238,3,1,0,0,0,6
10129904,83,1,0,0.0,0,1,0,0,1,0,3
10130365,171,3,1,0.02,0,1,1,0,0,0,3
10131669,299,3,0,0.0,0,2,1,0,0,0,9
10131977,702,3,1,0.02,0,2,1,0,0,0,5
